,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,prev_nr_contacts,prev_outcome,cons_price_idx,cons_conf_idx,nr_employed,subscribed
99,28,admin.,married,high.school,yes,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
100,56,admin.,married,university.degree,yes,yes,cellular,nov,tue,2,0,nonexistent,93.2,-42.0,5195.8,no
101,35,technician,married,basic.9y,yes,no,cellular,jul,mon,1,0,nonexistent,93.918,-42.7,5228.1,no
102,42,services,single,high.school,yes,no,cellular,may,mon,2,0,nonexistent,92.893,-46.2,5099.1,no
103,43,admin.,married,high.school,yes,no,telephone,jun,fri,15,0,nonexistent,94.465,-41.8,5228.1,no
104,42,blue-collar,married,basic.4y,yes,yes,telephone,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
105,42,technician,single,high.school,yes,no,telephone,jun,wed,1,0,nonexistent,94.465,-41.8,5228.1,no
106,48,technician,married,professional.course,yes,no,telephone,jun,mon,1,0,nonexistent,94.465,-41.8,5228.1,no
107,28,services,married,high.school,no,no,cellular,jul,tue,1,0,nonexistent,93.918,-42.7,5228.1,no
109,42,admin.,married,basic.9y,yes,no,cellular,jul,mon,2,0,nonexistent,93.918,-42.7,5228.1,no
110,60,retired,married,professional.course,yes,yes,cellular,jul,thu,4,2,success,94.215,-40.3,4991.6,no
111,37,blue-collar,married,basic.6y,yes,no,cellular,oct,thu,4,0,nonexistent,92.431,-26.9,5017.5,no
112,49,admin.,divorced,basic.9y,yes,no,telephone,may,thu,3,0,nonexistent,93.994,-36.4,5191.0,no
113,35,blue-collar,married,basic.6y,no,no,cellular,may,fri,3,1,failure,92.893,-46.2,5099.1,no
114,29,admin.,single,university.degree,no,yes,cellular,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
115,48,admin.,single,high.school,yes,no,cellular,jul,fri,5,0,nonexistent,93.918,-42.7,5228.1,no
116,49,blue-collar,married,high.school,no,yes,cellular,aug,thu,1,0,nonexistent,93.444,-36.1,5228.1,no
117,39,blue-collar,married,basic.4y,yes,no,cellular,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
118,35,admin.,married,high.school,yes,no,telephone,may,fri,14,0,nonexistent,93.994,-36.4,5191.0,no
119,50,management,married,high.school,no,no,telephone,jun,fri,8,0,nonexistent,94.465,-41.8,5228.1,no
120,51,blue-collar,married,basic.4y,no,no,telephone,may,thu,1,0,nonexistent,93.994,-36.4,5191.0,no
121,30,services,single,high.school,no,no,cellular,may,thu,2,0,nonexistent,92.893,-46.2,5099.1,no
122,55,admin.,married,high.school,yes,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
123,35,management,married,university.degree,yes,no,cellular,aug,mon,1,0,nonexistent,93.444,-36.1,5228.1,no
124,56,admin.,married,basic.9y,yes,no,cellular,apr,thu,2,0,nonexistent,93.075,-47.1,5099.1,yes
125,45,blue-collar,married,basic.9y,yes,no,telephone,may,fri,5,0,nonexistent,93.994,-36.4,5191.0,no
126,18,student,single,basic.9y,no,no,cellular,dec,thu,2,0,nonexistent,92.713,-33.0,5023.5,yes
128,24,technician,divorced,professional.course,yes,no,cellular,apr,fri,1,1,failure,93.075,-47.1,5099.1,no
129,54,admin.,married,high.school,yes,no,telephone,jun,thu,1,0,nonexistent,94.465,-41.8,5228.1,no
130,48,admin.,single,high.school,no,yes,cellular,jul,fri,7,0,nonexistent,93.918,-42.7,5228.1,no
131,30,management,single,university.degree,yes,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
132,38,blue-collar,married,basic.9y,yes,no,cellular,oct,mon,3,0,nonexistent,92.431,-26.9,5017.5,no
133,31,services,single,high.school,yes,no,cellular,may,wed,1,1,failure,92.893,-46.2,5099.1,no
134,50,self-employed,divorced,university.degree,no,no,cellular,nov,thu,4,0,nonexistent,93.2,-42.0,5195.8,no
135,47,admin.,married,high.school,no,no,cellular,may,wed,2,0,nonexistent,92.893,-46.2,5099.1,no
136,30,admin.,single,university.degree,no,no,telephone,jun,thu,1,0,nonexistent,94.465,-41.8,5228.1,no
137,39,services,married,basic.9y,yes,yes,telephone,apr,wed,2,0,nonexistent,93.075,-47.1,5099.1,no
138,48,management,divorced,university.degree,yes,no,cellular,nov,wed,1,1,success,92.649,-30.1,5017.5,yes
139,30,admin.,single,university.degree,yes,no,telephone,apr,tue,2,0,nonexistent,93.075,-47.1,5099.1,no
140,34,management,married,university.degree,yes,no,telephone,nov,thu,1,0,nonexistent,93.2,-42.0,5195.8,no
141,30,blue-collar,single,professional.course,yes,no,cellular,nov,tue,2,0,nonexistent,94.767,-50.8,4963.6,no
142,30,blue-collar,single,basic.4y,no,no,telephone,may,fri,1,0,nonexistent,93.994,-36.4,5191.0,no
143,34,admin.,married,university.degree,no,no,cellular,nov,wed,1,0,nonexistent,93.2,-42.0,5195.8,no
144,36,housemaid,married,high.school,no,no,telephone,may,fri,1,0,nonexistent,93.994,-36.4,5191.0,no
145,32,technician,single,professional.course,yes,no,cellular,nov,fri,5,0,nonexistent,93.2,-42.0,5195.8,no
146,58,management,divorced,university.degree,no,no,telephone,may,thu,7,0,nonexistent,93.994,-36.4,5191.0,no
147,28,services,married,basic.9y,no,no,cellular,may,tue,3,0,nonexistent,92.893,-46.2,5099.1,yes
148,42,management,married,university.degree,no,yes,cellular,aug,tue,3,0,nonexistent,93.444,-36.1,5228.1,no
149,50,services,married,basic.6y,yes,no,telephone,may,mon,4,0,nonexistent,93.994,-36.4,5191.0,no
150,33,admin.,single,university.degree,yes,no,cellular,aug,thu,2,0,nonexistent,93.444,-36.1,5228.1,no
151,35,blue-collar,divorced,basic.6y,yes,no,cellular,apr,fri,1,0,nonexistent,93.075,-47.1,5099.1,no
152,31,technician,single,professional.course,yes,no,cellular,aug,tue,1,0,nonexistent,93.444,-36.1,5228.1,no
153,28,admin.,married,university.degree,yes,no,cellular,aug,wed,1,1,failure,92.201,-31.4,5076.2,no
154,34,blue-collar,married,basic.4y,no,no,telephone,may,tue,4,0,nonexistent,93.994,-36.4,5191.0,no
155,29,admin.,single,university.degree,no,yes,telephone,jun,wed,1,0,nonexistent,94.465,-41.8,5228.1,no
156,51,admin.,single,university.degree,yes,yes,cellular,jun,fri,2,0,nonexistent,92.963,-40.8,5076.2,no
157,39,blue-collar,married,basic.6y,no,no,telephone,may,wed,2,0,nonexistent,93.994,-36.4,5191.0,no
158,53,housemaid,married,basic.4y,yes,no,telephone,may,tue,1,0,nonexistent,93.994,-36.4,5191.0,no
159,28,management,married,high.school,no,no,telephone,may,tue,1,0,nonexistent,93.994,-36.4,5191.0,no
160,27,services,single,high.school,no,no,cellular,jul,tue,4,0,nonexistent,93.918,-42.7,5228.1,yes
161,39,services,married,high.school,no,no,telephone,jun,fri,9,0,nonexistent,94.465,-41.8,5228.1,no
163,33,services,single,professional.course,no,no,telephone,may,thu,1,0,nonexistent,93.994,-36.4,5191.0,no
164,36,housemaid,married,basic.6y,no,no,cellular,aug,mon,9,0,nonexistent,93.444,-36.1,5228.1,no
165,37,admin.,single,high.school,no,no,cellular,jul,mon,3,0,nonexistent,93.918,-42.7,5228.1,no
166,31,admin.,married,high.school,yes,yes,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
167,26,self-employed,married,university.degree,no,no,telephone,may,thu,1,0,nonexistent,93.994,-36.4,5191.0,no
168,42,technician,divorced,professional.course,yes,no,cellular,apr,fri,2,0,nonexistent,93.075,-47.1,5099.1,no
169,74,retired,married,basic.4y,yes,no,cellular,jun,mon,1,0,nonexistent,92.963,-40.8,5076.2,yes
170,48,blue-collar,married,professional.course,no,no,telephone,jun,tue,6,0,nonexistent,94.465,-41.8,5228.1,no
171,53,blue-collar,married,basic.4y,yes,no,cellular,apr,mon,2,1,failure,93.075,-47.1,5099.1,yes
172,46,blue-collar,married,basic.6y,yes,no,cellular,aug,fri,1,0,nonexistent,93.444,-36.1,5228.1,no
173,35,admin.,married,university.degree,no,no,telephone,may,fri,4,0,nonexistent,93.994,-36.4,5191.0,no
174,38,admin.,married,university.degree,yes,no,cellular,aug,mon,1,0,nonexistent,93.444,-36.1,5228.1,yes
175,50,blue-collar,married,basic.6y,no,no,cellular,may,fri,6,0,nonexistent,92.893,-46.2,5099.1,no
176,44,management,married,high.school,yes,no,cellular,jul,mon,1,0,nonexistent,93.918,-42.7,5228.1,no
177,31,services,divorced,high.school,yes,yes,cellular,nov,mon,1,0,nonexistent,93.2,-42.0,5195.8,no
178,31,admin.,single,university.degree,no,no,cellular,aug,tue,2,0,nonexistent,93.444,-36.1,5228.1,no
179,48,blue-collar,divorced,basic.4y,yes,no,telephone,jun,mon,2,0,nonexistent,94.465,-41.8,5228.1,no
180,27,admin.,single,university.degree,no,no,cellular,sep,thu,3,1,success,94.199,-37.5,4963.6,yes
181,25,technician,single,professional.course,yes,no,cellular,jul,mon,2,0,nonexistent,93.918,-42.7,5228.1,no
182,56,services,single,high.school,yes,yes,cellular,nov,fri,4,0,nonexistent,93.2,-42.0,5195.8,no
183,30,technician,single,university.degree,no,no,cellular,aug,thu,1,0,nonexistent,93.444,-36.1,5228.1,no
185,43,management,married,university.degree,no,no,cellular,nov,mon,1,0,nonexistent,93.2,-42.0,5195.8,no
186,42,admin.,married,university.degree,yes,no,cellular,aug,tue,2,0,nonexistent,93.444,-36.1,5228.1,no
187,38,admin.,married,university.degree,no,no,telephone,may,tue,6,0,nonexistent,92.893,-46.2,5099.1,no
188,60,retired,married,professional.course,no,no,cellular,aug,wed,1,0,nonexistent,93.444,-36.1,5228.1,no
189,48,admin.,married,university.degree,no,no,cellular,dec,mon,2,0,nonexistent,92.713,-33.0,5023.5,no
191,30,blue-collar,married,basic.6y,no,no,telephone,may,mon,4,0,nonexistent,93.994,-36.4,5191.0,no
192,53,technician,married,university.degree,yes,yes,cellular,aug,mon,11,0,nonexistent,93.444,-36.1,5228.1,no
193,51,blue-collar,married,basic.4y,no,no,cellular,jul,wed,1,0,nonexistent,93.918,-42.7,5228.1,no
194,24,technician,married,professional.course,yes,no,cellular,may,thu,4,0,nonexistent,92.893,-46.2,5099.1,no
196,37,admin.,married,high.school,no,yes,telephone,may,fri,2,0,nonexistent,93.994,-36.4,5191.0,no
197,27,blue-collar,single,basic.4y,yes,no,cellular,jul,wed,5,0,nonexistent,93.918,-42.7,5228.1,no
199,31,admin.,married,high.school,yes,no,cellular,may,wed,1,0,nonexistent,92.893,-46.2,5099.1,yes
200,49,admin.,married,high.school,yes,no,cellular,apr,thu,2,0,nonexistent,93.075,-47.1,5099.1,no
201,56,retired,single,professional.course,yes,no,cellular,jul,fri,4,0,nonexistent,93.918,-42.7,5228.1,no
202,24,management,single,university.degree,no,no,cellular,apr,thu,2,0,nonexistent,93.075,-47.1,5099.1,no
203,48,admin.,married,university.degree,yes,no,cellular,nov,wed,1,0,nonexistent,93.2,-42.0,5195.8,no
204,36,blue-collar,married,basic.9y,no,no,telephone,jun,tue,1,0,nonexistent,94.465,-41.8,5228.1,no
206,31,technician,single,professional.course,yes,no,cellular,nov,thu,1,0,nonexistent,93.2,-42.0,5195.8,no
207,32,technician,married,university.degree,yes,no,cellular,aug,tue,3,0,nonexistent,93.444,-36.1,5228.1,no
208,37,self-employed,married,university.degree,yes,no,cellular,nov,fri,5,0,nonexistent,93.2,-42.0,5195.8,no
209,55,retired,married,high.school,no,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
210,47,blue-collar,married,basic.9y,yes,no,telephone,may,thu,3,0,nonexistent,93.994,-36.4,5191.0,no
211,31,blue-collar,married,basic.4y,no,no,cellular,may,wed,1,0,nonexistent,92.893,-46.2,5099.1,yes
212,36,admin.,married,university.degree,yes,no,cellular,aug,thu,2,0,nonexistent,93.444,-36.1,5228.1,no
213,25,admin.,single,university.degree,yes,no,cellular,may,fri,7,1,failure,92.893,-46.2,5099.1,no
214,28,blue-collar,married,basic.9y,no,yes,cellular,jul,mon,3,0,nonexistent,93.918,-42.7,5228.1,no
215,44,blue-collar,married,basic.9y,yes,no,cellular,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
216,33,admin.,married,university.degree,yes,no,cellular,aug,fri,1,0,nonexistent,93.444,-36.1,5228.1,no
217,46,technician,married,university.degree,yes,no,cellular,may,mon,1,1,failure,92.893,-46.2,5099.1,no
219,33,admin.,divorced,high.school,no,no,telephone,may,tue,1,0,nonexistent,93.994,-36.4,5191.0,no
220,35,admin.,married,university.degree,yes,no,cellular,aug,thu,4,0,nonexistent,93.444,-36.1,5228.1,no
221,27,technician,married,university.degree,no,no,telephone,may,fri,3,0,nonexistent,93.994,-36.4,5191.0,no
222,28,admin.,married,high.school,yes,no,cellular,nov,wed,1,0,nonexistent,92.649,-30.1,5017.5,no
223,43,admin.,single,high.school,no,yes,telephone,may,wed,5,0,nonexistent,93.994,-36.4,5191.0,no
225,47,technician,married,university.degree,yes,no,cellular,aug,wed,3,0,nonexistent,93.444,-36.1,5228.1,no
226,26,student,single,university.degree,no,no,cellular,jun,wed,2,1,failure,92.963,-40.8,5076.2,no
227,50,entrepreneur,married,professional.course,yes,yes,cellular,aug,thu,1,0,nonexistent,93.444,-36.1,5228.1,no
228,60,retired,married,high.school,no,no,cellular,dec,thu,1,0,nonexistent,92.713,-33.0,5023.5,yes
229,35,blue-collar,married,basic.9y,yes,yes,telephone,jun,thu,1,0,nonexistent,94.465,-41.8,5228.1,no
230,37,admin.,married,university.degree,yes,yes,cellular,may,fri,2,0,nonexistent,92.893,-46.2,5099.1,no
231,39,technician,married,professional.course,no,no,cellular,jul,thu,6,0,nonexistent,93.918,-42.7,5228.1,no
232,62,retired,married,university.degree,yes,yes,cellular,aug,thu,2,0,nonexistent,92.201,-31.4,5076.2,no
233,36,services,married,high.school,yes,no,cellular,oct,fri,1,1,success,92.431,-26.9,5017.5,no
235,36,blue-collar,married,basic.9y,no,no,cellular,may,thu,1,0,nonexistent,92.893,-46.2,5099.1,no
237,44,blue-collar,married,basic.4y,yes,no,cellular,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
238,31,technician,married,professional.course,no,no,cellular,aug,tue,1,0,nonexistent,93.444,-36.1,5228.1,no
239,30,admin.,divorced,high.school,yes,no,cellular,nov,thu,2,0,nonexistent,93.2,-42.0,5195.8,no
240,33,services,married,high.school,no,yes,telephone,may,fri,2,0,nonexistent,93.994,-36.4,5191.0,no
241,40,admin.,single,high.school,no,yes,telephone,may,thu,1,0,nonexistent,93.994,-36.4,5191.0,no
242,47,services,married,high.school,yes,yes,cellular,aug,fri,1,0,nonexistent,93.444,-36.1,5228.1,no
243,46,self-employed,divorced,basic.9y,yes,yes,cellular,apr,thu,1,0,nonexistent,93.075,-47.1,5099.1,no
244,35,admin.,divorced,university.degree,yes,no,cellular,jul,tue,4,0,nonexistent,93.918,-42.7,5228.1,no
246,48,blue-collar,married,basic.9y,no,no,cellular,aug,thu,2,0,nonexistent,93.444,-36.1,5228.1,no
247,37,technician,married,university.degree,no,no,cellular,aug,mon,2,0,nonexistent,93.444,-36.1,5228.1,no
248,29,admin.,married,professional.course,yes,no,telephone,jun,wed,4,0,nonexistent,94.465,-41.8,5228.1,yes
249,26,services,married,high.school,no,no,telephone,may,mon,2,0,nonexistent,93.994,-36.4,5191.0,no
250,39,blue-collar,married,basic.6y,yes,no,telephone,jun,tue,1,0,nonexistent,94.465,-41.8,5228.1,no
251,58,retired,married,basic.4y,no,no,telephone,may,mon,3,0,nonexistent,93.994,-36.4,5191.0,no
252,37,technician,married,professional.course,yes,no,cellular,jul,fri,6,0,nonexistent,93.918,-42.7,5228.1,no
253,34,housemaid,married,high.school,no,no,cellular,may,wed,3,0,nonexistent,92.893,-46.2,5099.1,no
254,30,admin.,single,university.degree,yes,no,cellular,jun,wed,3,0,nonexistent,92.963,-40.8,5076.2,yes
255,38,technician,married,university.degree,yes,no,cellular,aug,fri,3,0,nonexistent,93.444,-36.1,5228.1,no
256,48,admin.,married,university.degree,yes,yes,cellular,nov,fri,1,1,failure,93.2,-42.0,5195.8,no
257,36,services,divorced,high.school,yes,no,cellular,jul,mon,1,0,nonexistent,93.918,-42.7,5228.1,no
258,26,admin.,single,university.degree,no,no,telephone,aug,mon,1,1,success,94.027,-38.3,4991.6,yes
259,24,student,single,professional.course,no,yes,cellular,oct,tue,3,2,failure,94.601,-49.5,4963.6,no
260,42,technician,single,professional.course,no,no,telephone,jun,fri,4,0,nonexistent,94.465,-41.8,5228.1,no
261,48,technician,divorced,professional.course,yes,yes,cellular,nov,tue,1,0,nonexistent,93.2,-42.0,5195.8,no
262,39,blue-collar,single,basic.4y,no,no,cellular,may,tue,4,0,nonexistent,92.893,-46.2,5099.1,no
263,45,management,married,university.degree,no,no,cellular,jul,mon,2,0,nonexistent,93.918,-42.7,5228.1,no
264,25,blue-collar,single,basic.9y,yes,yes,cellular,jul,thu,2,0,nonexistent,93.918,-42.7,5228.1,no
265,47,technician,married,high.school,no,no,cellular,aug,tue,9,0,nonexistent,93.444,-36.1,5228.1,no
